,PROVINCE,LAT,LONG,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8
1,AZUAY,-2.9001,-79.0059,1,14,28,94,99,116,154,200
2,BOLIVAR,-1.5912,-78.999,0,2,9,20,26,30,33,33
3,CANAR,-2.7409,-78.8488,0,3,7,49,56,75,94,105
4,CARCHI,0.8151,-77.7166,0,0,0,6,9,15,23,26
5,CHIMBORAZO,-1.665,-78.6589,0,2,11,17,31,54,65,90
6,COTOPAXI,-0.9316,-78.6058,0,0,1,9,16,30,36,45
7,EL ORO,-3.2581,-79.9554,0,1,14,52,56,97,149,183
8,ESMERALDAS,0.9682,-79.6517,0,0,3,10,14,27,31,44
9,GALAPAGOS,-0.8675,-89.4364,0,0,4,7,11,11,11,11
10,GUAYAS,-2.1894,-79.8891,19,187,826,1937,2402,3384,5290,5551
11,IMBABURA,0.3471,-78.1324,0,1,4,15,20,24,32,34
12,LOJA,-4.0079,-79.2113,0,4,7,26,27,49,59,85
13,LOS RIOS,-1.8019,-79.5346,10,16,37,100,153,193,227,255
14,MANABI,-0.9677,-80.7089,0,8,32,56,71,159,204,227
15,MORONA SANTIAGO,-2.3051,-78.1147,0,3,6,10,10,18,19,21
16,NAPO,-0.9692,-77.8024,0,0,0,1,2,2,4,8
17,ORELLANA,-0.6592,-76.7337,0,0,0,1,2,5,5,6
18,PASTAZA,-1.4929,-77.9998,0,0,0,5,9,12,13,16
19,PICHINCHA,-0.1807,-78.4678,6,16,72,245,321,494,606,674
20,SANTA ELENA,-2.2234,-80.9585,0,0,6,30,48,63,74,92
21,STO. DOMINGO DE LOS TSACHILAS,-0.2522,-79.1879,0,1,7,19,31,46,55,67
22,SUCUMBIOS,0.0889,-76.8898,1,1,6,27,27,33,33,33
23,TUNGURAHUA,-1.2543,-78.6229,0,0,2,10,22,25,36,47
24,ZAMORA CHINCHIPE,-4.0656,-78.9504,0,0,0,2,2,3,4,5
